X1,X2,X3,X4,X5,X6,X7,X8,X9,y
M,J2,DKZIE,CODEZ18,SP,CLAV,37,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,40,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,50,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,60,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,63,XXX,BBB,BBB-AE01;BBB-AE02;BBB-AE04
M,J2,DKZIE,CODEZ18,SP,CLAV,68,XXX,BBB,BBB-AE01;BBB-AE02;BBB-AE04
M,J2,DKZIE,CODEZ18,SP,CLAV,78,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,94,XXX,BBB,BBB-AE01;BBB-AE02;BBB-AE04
M,J2,DKZIE,CODEZ18,SP,CLAV,94,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,5.2,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ18,SP,CLAV,5.9,XXX,BBB,BBB-AE01
M,J2,DKZIE,CODEZ18,SP,CLAV,8.5,XXX,BBB,BBB-AE01;BBB-AE02
M,J2,DKZIE,CODEZ18,SP,CLAV,107,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ18,SP,CLAV,111,XXX,BBB,BBB-AE04
M,J2,DKZIE,CODEZ18,SP,CLAV,120,XXX,DFDF,DFDF-AE01;DFDF-AE02
M,J2,DKZIE,CODEZ20,SP,CLCV,11,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ20,SP,CLCV,20,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ20,SP,CLCV,26,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ20,SP,CLCV,28,XXX,BBB,BBB-CE01
M,J2,DKZIE,CODEZ20,SP,CLCV,34,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ20,SP,CLCV,37,XXX,BBB,BBB-CE04
M,J2,DKZIE,CODEZ20,SP,CLCV,37,XXX,DDDDD,DDDDD-CE01
M,J2,DKZIE,CODEZ20,SP,CLCV,37,XXX,DFDF,DFDF-CE01;DFDF-CE02
M,J2,DKZIE,CODEZ20,SP,CLCV,60,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ20,SP,CLCV,63,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ20,SP,CLCV,68,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ20,SP,CLCV,78,XXX,BBB,BBB-CE01;BBB-CE02
M,J2,DKZIE,CODEZ20,SP,CLCV,94,XXX,BBB,BBB-CE01;BBB-CE02;BBB-CE04
M,J2,DKZIE,CODEZ20,SP,CLCV,94,XXX,DDDDD,DDDDD-CE01
M,J2,DKZIE,CODEZ20,SP,CLCV,94,XXX,DFDF,DFDF-CE02
M,J2,DKZIE,CODEZ20,SP,CLCV,8.5,XXX,BBB,BBB-CE01;BBB-CE02
